engine,max_power,mileage,year,selling_price
2523,63.0,13.6,2011,280000
1995,190.0,16.78,2019,5500000
1248,92.3124958934112,19.3737698630137,2012,400000
1994,105.3,12.2,2016,409999
1197,81.8,22.0,2018,600000
1248,74.0,22.9,2014,509999
1193,64.08,15.64,2011,90000
1198,75.0,18.44,2015,346000
1598,103.5,14.3,2013,395000
1461,108.45,19.01,2012,500000
2523,63.0,13.6,2011,409999
1197,81.86,20.14,2017,509999
1405,70.0,19.4,2011,210000
1405,69.01,19.09,2016,390000
1197,78.9,20.36,2010,180000
998,67.04,21.63,2018,475000
1248,90.0,18.8,2011,88000
1396,88.73,22.54,2017,680000
2179,140.0,15.1,2014,850000
1199,88.7,18.2,2016,550000
2489,93.7,14.95,2015,400000
1364,67.05,23.59,2018,780000
1248,0.0,19.3737698630137,2017,589000
1197,81.8,20.4,2016,500000
1248,92.3124958934112,19.3737698630137,2009,370000
796,47.3,22.74,2016,270000
1197,81.83,18.6,2017,730000
1248,74.0,26.59,2015,480000
1248,74.0,22.95,2018,539000
799,53.64,22.7,2017,235000
2489,95.0,13.0,2010,250000
1396,69.0,25.0,2013,280000
1405,68.0,16.8,2006,85000
1248,88.76,20.77,2015,580000
796,35.0,19.7,2009,101000
1197,78.9,20.36,2008,215000
1586,103.3,12.6,2009,200000
2179,120.0,11.79,2012,440000
814,55.2,21.1,2017,310000
1199,88.7,18.2,2016,550000
1248,74.0,22.9,2013,300000
1461,65.0,20.8,2012,254999
1461,108.45,19.6,2018,1050000
1496,88.73,16.78,2017,625000
1198,86.7,18.0,2013,300000
1199,88.7,19.0,2015,600000
1061,67.0,18.9,2010,200000
796,46.3,19.7,2012,185000
2498,112.0,11.68,2014,390000
796,37.0,16.1,1997,50000
1498,98.96,21.7,2019,950000
796,46.3,19.7,2010,170000
1197,80.0,18.5,2010,270000
1248,74.0,25.2,2016,580000
1248,92.3124958934112,19.3737698630137,2012,200000
1197,81.8,20.89,2019,500000
1248,74.0,26.59,2015,520000
1497,121.0,17.3,2018,1200000
2179,140.0,16.0,2016,800000
1197,82.0,18.9,2019,625000
796,37.0,16.1,2003,42000
1248,92.3124958934112,19.3737698630137,2011,320000
1199,84.0,20.3,2017,493000
1197,82.0,19.1,2016,565000
1248,75.0,17.8,2009,250000
624,35.0,26.0,2011,46000
1248,74.0,25.2,2014,520000
1498,113.42,14.62,2013,650000
1582,126.2,17.01,2018,1150000
2179,147.94,14.1,2015,503000
2179,140.0,15.1,2013,750000
993,60.0,17.3,2006,150000
1298,88.2,16.1,2005,130000
1197,81.83,18.6,2017,630000
1248,74.0,26.59,2017,589000
1248,92.3124958934112,19.3737698630137,2003,70000
2487,214.56,22.37,2019,5150000
1405,70.0,16.1,2004,80000
2997,218.0,9.0,2005,285000
796,47.3,24.7,2018,350000
1995,184.0,18.88,2012,1300000
2498,112.0,12.2,2012,700000
1582,126.3,22.32,2011,450000
1794,125.0,13.4,2005,275000
2487,214.56,22.37,2019,5150000
1198,86.8,18.5,2012,325000
796,37.0,16.1,2003,45000
1497,113.42,17.7,2012,434999
1248,92.3124958934112,19.3737698630137,2007,150000
1197,83.1,21.4,2016,550000
2499,141.0,13.1,2014,620000
1373,91.1,20.73,2015,550000
1493,100.0,17.21,2013,350000
1248,88.8,21.12,2010,170000
1396,88.73,22.54,2014,600000
1493,110.0,17.1,2009,150000
2179,153.86,17.6,2017,1445000
998,67.1,18.9,2017,352000
1248,88.5,24.52,2016,756000
1396,88.73,22.54,2017,750000
1248,88.5,23.65,2016,675000
1462,103.2,19.01,2019,1000000
1493,113.42,25.0,2013,550000
1496,88.73,16.78,2017,625000
1995,190.0,16.78,2019,5500000
799,53.3,25.17,2016,390000
1197,81.83,18.6,2017,600000
998,67.1,23.95,2017,400000
2179,120.0,18.49,2018,600000
1248,74.0,22.3,2014,240000
814,55.2,21.1,2013,200000
1396,69.0,25.0,2013,310000
1086,68.0,20.3,2019,450000
1197,81.8,21.21,2019,675000
796,34.2,16.8,2018,260000
1199,82.4,18.2,2014,310000
2179,138.0,16.0,2018,1500000
998,67.04,23.1,2018,545000
1248,74.0,27.39,2018,740000
1498,97.7,16.95,2013,275000
1999,177.0,13.6,2017,2625000
1497,115.0,20.0,2019,1225000
1248,90.0,18.8,2011,190000
998,67.05,21.79,2013,225000
2523,63.0,13.6,2010,495000
1248,74.02,28.4,2018,800000
1197,82.0,18.9,2016,490000
1498,103.52,21.14,2015,700000
1197,80.0,17.0,2011,220000
1248,74.0,27.39,2018,740000
1969,190.0,18.0,2019,3800000
1396,88.73,22.54,2014,475000
1248,74.0,26.59,2016,550000
2609,116.6,12.7,2006,250000
1596,99.6,14.09,2013,350000
2755,171.5,11.36,2019,1925000
1396,90.0,23.0,2010,285000
1405,62.0,16.8,2008,100000
1248,88.8,20.77,2012,450000
2179,147.94,14.1,2017,800000
1197,78.9,20.36,2013,300000
1343,90.0,13.0,2004,50000
1969,190.0,18.0,2018,3400000
1991,147.9,18.3,2011,409999
1086,62.0,0.0,2008,105000
793,47.0,27.62,2016,375000
1498,98.6,26.0,2016,700000
1248,88.8,21.12,2012,310000
1086,62.1,17.92,2010,160000
2498,105.0,16.55,2018,900000
2494,157.7,19.16,2016,2000000
1396,88.73,22.54,2012,525000
1591,121.3,17.1,2014,500000
1248,74.0,27.39,2015,590000
1493,100.0,18.49,2015,600000
1197,81.86,18.6,2019,800000
998,67.1,18.9,2013,250000
998,67.1,18.9,2003,135000
1086,68.05,19.81,2010,131000
814,55.2,21.1,2013,165000
1197,82.0,18.9,2017,500000
1461,108.45,19.64,2016,550000
1968,181.0,15.17,2018,2200000
814,55.2,21.1,2013,200000
1199,88.7,18.2,2016,550000
1120,71.0,24.4,2016,509999
1197,81.8,20.89,2019,525000
1497,121.0,17.3,2019,925000
796,47.3,22.74,2016,240000
998,67.0,20.51,2018,472000
2987,254.79,13.5,2017,6000000
799,53.3,25.17,2017,270000
1498,99.0,25.83,2015,480000
1497,116.3,16.8,2010,285000
1461,65.0,21.03,2018,750000
1197,83.1,21.4,2018,830000
1248,88.5,24.3,2016,800000
1396,88.76,22.54,2019,811000
995,62.1,16.2,2012,125000
1968,188.0,17.01,2018,3975000
1248,73.9,21.1,2011,160000
1493,70.0,16.5,2018,750000
1493,100.0,17.21,2012,250000
1498,88.5,20.14,2013,350000
1199,84.0,20.3,2019,550000
2523,63.0,15.96,2013,400000
1396,88.7,21.38,2018,1210000
1248,74.0,22.9,2013,370000
1984,150.0,16.8,2018,2475000
998,67.05,23.95,2015,240000
1248,88.5,26.21,2015,700000
998,67.04,20.51,2015,280000
1794,138.1,14.53,2012,550000
2494,102.0,12.8,2011,650000
1396,88.73,22.54,2018,825000
1196,86.8,18.16,2015,450000
1248,74.0,23.4,2014,600000
998,67.04,20.51,2015,350000
1248,88.5,24.3,2017,869999
2179,120.0,15.4,2015,1050000
1498,98.6,25.5,2017,950000
796,47.3,24.7,2017,285000
1248,75.0,17.8,2011,305000
1461,108.45,19.72,2016,650000
1197,82.0,18.9,2015,350000
1364,67.04,23.59,2014,480000
799,53.64,22.7,2017,270000
2179,147.94,14.1,2015,503000
1368,160.0,16.0,2019,1450000
1498,88.8,20.14,2015,550000
1197,81.8,21.21,2017,550000
1995,190.0,16.78,2019,5500000
1999,177.0,19.33,2017,3200000
1197,81.86,20.14,2017,600000
1197,85.8,21.1,2011,200000
2179,147.94,14.1,2015,503000
1595,120.7,11.9,2014,1250000
1896,122.4,16.6,2007,250000
2179,118.35,13.55,2011,250000
1198,86.8,19.4,2016,400000
1493,70.0,16.5,2017,640000
1248,73.9,19.3,2012,341000
1197,81.83,18.6,2018,700000
1197,82.85,18.5,2013,320000
1396,88.73,22.54,2015,500000
814,55.2,21.1,2014,229999
814,55.2,21.1,2014,229999
1298,85.8,17.5,2010,231000
1298,88.2,16.1,2007,220000
1197,81.86,18.6,2019,693000
1248,88.8,21.5,2012,350000
1995,190.0,16.78,2019,5400000
1582,126.2,23.9,2017,750000
993,60.0,17.3,2001,30000
1197,85.8,19.1,2012,310000
1461,64.1,20.8,2014,350000
1461,83.8,20.45,2015,580000
1798,138.03,14.28,2013,625000
1061,67.0,18.9,2007,150000
1193,65.3,15.3,2007,80000
1248,88.5,24.52,2017,800000
1248,92.3124958934112,19.3737698630137,2004,170000
1497,117.3,17.8,2014,650000
1248,75.0,18.4,2012,150000
1368,160.77,16.0,2019,2100000
998,67.04,20.51,2014,320000
1493,110.0,18.1,2009,210000
1396,69.0,25.0,2016,200000
1498,78.9,23.8,2019,700000
1120,71.01,24.4,2015,375000
3604,280.0,9.5,2017,4100000
1198,82.0,18.15,2017,400000
1396,69.0,19.09,2008,99000
1399,68.0,17.7,2009,155000
1598,103.5,14.3,2016,645000
998,67.1,18.9,2013,260000
1248,74.0,28.4,2019,630000
1969,190.0,18.0,2019,3800000
1197,81.8,20.4,2016,500000
796,34.2,16.8,2018,220000
1956,170.0,17.1,2018,1757000
998,67.05,21.79,2009,185000
1248,88.5,24.3,2017,775000
1396,88.7,24.8,2017,700000
2494,102.0,12.8,2007,600000
1582,126.2,23.9,2015,600000
1248,88.5,24.52,2016,725000
1197,78.9,20.36,2014,350000
1248,88.7,23.0,2015,350000
796,46.3,19.7,2009,114999
1199,84.0,23.84,2017,450000
799,53.3,25.17,2016,300000
2143,204.0,15.0,2016,2700000
1248,74.0,23.4,2013,475000
2393,147.8,13.68,2016,1490000
1248,92.3124958934112,19.3737698630137,2006,105000
1498,98.63,27.4,2019,800000
1498,98.96,21.7,2015,599000
1198,86.8,19.4,2012,265000
1120,70.0,24.0,2013,270000
1948,68.0,12.2,2011,175000
2494,157.7,19.16,2016,2000000
1248,75.0,17.8,2011,305000
1186,73.97,25.4,2018,620000
998,67.1,19.0,2010,160000
1396,88.7,21.38,2017,957000
1586,104.68,15.0,2010,300000
1197,78.9,20.36,2014,225000
1495,93.7,16.36,2012,225000
2494,102.0,12.8,2011,800000
1199,88.7,17.5,2017,700000
1499,98.63,23.8,2018,650000
1196,70.0,15.6,2011,225000
2494,100.6,12.99,2014,910000
1396,88.73,21.19,2016,720000
1388,67.0,18.6,2013,325000
1968,174.33,17.68,2014,2200000
1150,74.9,15.26,2008,80000
936,57.6,25.44,2013,175000
1498,98.63,24.7,2013,350000
1598,103.6,20.54,2012,280000
2523,63.0,13.6,2007,300000
1197,83.1,21.4,2017,630000
1199,84.48,23.84,2019,490000
2494,100.6,12.99,2014,700000
1298,85.8,17.5,2012,285000
1396,88.73,21.19,2017,650000
1248,74.02,28.4,2017,725000
2523,63.0,13.6,2007,240000
2499,72.4,13.58,2015,425000
1498,98.96,23.0,2014,484999
1396,69.0,23.03,2012,220000
2523,63.0,13.6,2011,310000
998,67.1,18.9,2005,65000
1196,86.8,18.16,2017,400000
1498,98.6,26.0,2017,650000
2523,62.1,15.96,2014,570000
1248,74.02,28.4,2017,745000
1248,74.02,28.4,2018,755000
2354,158.8,11.1,2009,500000
1248,91.72,20.5,2015,459999
1197,82.0,18.9,2014,400000
2523,63.0,13.6,2005,250000
2999,174.57,13.8,2019,2700000
799,53.3,25.17,2016,220000
1248,73.74,18.2,2016,420000
1405,70.0,17.0,2007,120000
1462,103.25,21.56,2018,650000
1248,92.3124958934112,19.3737698630137,2004,70000
2179,153.86,17.6,2017,1282000
1499,110.0,16.5,2015,625000
796,35.0,19.7,2008,110000
2523,63.0,15.96,2013,325000
1197,78.9,20.36,2010,165000
993,60.0,17.3,2006,100000
1197,81.86,17.19,2017,650000
1582,126.24,22.7,2013,615000
1498,103.2,20.34,2015,515000
796,37.0,16.1,1999,40000
2982,168.5,12.55,2015,1888000
1396,105.5,17.43,2015,465000
1461,108.45,19.01,2014,495000
1197,81.8,20.89,2019,577000
2179,147.94,14.1,2015,503000
1798,138.03,14.28,2018,1590000
1198,73.9,16.47,2012,415000
1197,82.0,18.9,2017,550000
796,34.2,16.8,2016,190000
2494,100.6,12.99,2013,750000
1248,73.94,23.2,2013,320000
1948,68.0,12.2,2000,95000
1197,81.83,18.6,2015,430000
2494,157.7,19.16,2016,2000000
2523,63.0,13.6,2005,250000
1197,82.0,18.9,2014,400000
1197,81.8,20.4,2016,500000
1197,81.86,17.4,2019,695000
998,67.1,18.9,2006,135000
1248,73.9,19.3,2009,229999
1248,88.5,24.3,2018,770000
1193,64.4,16.84,2012,75000
1498,89.75,25.01,2014,650000
1493,100.0,18.49,2018,775000
814,55.2,21.1,2014,250000
1497,117.3,17.8,2015,575000
1396,69.0,19.09,2013,250000
796,47.3,22.74,2016,270000
1396,88.73,22.54,2015,650000
2494,100.6,12.99,2014,900000
1498,98.6,27.3,2015,600000
1364,67.05,23.59,2015,509999
1582,126.32,22.32,2013,522000
2179,152.87,15.1,2018,1100000
1396,88.73,22.54,2012,525000
1248,73.9,19.3,2009,275000
1461,83.8,20.45,2014,450000
1248,74.0,22.95,2017,450000
1061,67.0,18.9,2007,100000
1198,86.8,18.5,2014,325000
1498,98.6,25.8,2017,650000
1196,73.0,15.37,2016,392000
1364,87.2,21.43,2010,300000
998,67.04,20.51,2015,369000
1248,92.3124958934112,19.3737698630137,2007,150000
1086,68.05,19.81,2011,200000
796,47.3,22.74,2014,229999
998,67.04,20.51,2016,390000
1598,103.5,14.3,2016,645000
1248,75.0,20.3,2013,300000
1197,82.85,18.5,2012,335000
1248,73.9,21.1,2010,225000
998,67.04,20.51,2014,300000
1461,84.8,21.64,2013,325000
1199,73.9,22.07,2011,388000
993,60.0,17.3,2004,120000
998,67.1,18.9,2003,145000
998,67.04,20.51,2013,350000
1248,92.3124958934112,19.3737698630137,2005,110000
2179,138.0,13.93,2009,500000
1498,108.495,22.0,2017,625000
2179,115.0,13.5,2011,484999
1197,81.83,18.6,2017,675000
998,66.1,19.0,2010,165000
1120,70.0,24.0,2016,480000
2499,72.4,13.58,2015,509999
1499,110.4,17.01,2015,416000
1248,74.0,23.4,2013,480000
1498,98.59,22.77,2018,925000
1248,74.0,27.39,2018,740000
1968,188.0,17.01,2018,3975000
1248,92.3124958934112,19.3737698630137,2007,150000
1582,126.32,22.32,2014,600000
2148,170.0,15.8,2018,2950000
1497,117.6,17.4,2011,325000
796,46.3,19.7,2011,175000
993,60.0,17.3,2004,70000
1999,177.0,19.33,2017,3200000
1197,83.14,20.85,2017,550000
1248,75.0,17.8,2009,300000
2523,63.0,18.06,2019,890000
1248,73.94,23.2,2016,475000
1120,70.0,24.0,2014,300000
1498,108.62,21.66,2017,560000
1896,106.0,17.5,2010,250000
1197,78.9,20.36,2014,275000
1248,88.5,24.52,2016,778000
796,47.3,24.7,2018,295000
796,46.3,19.7,2006,120000
1197,78.9,20.36,2013,375000
2393,147.8,13.68,2016,1689999
2523,62.1,15.96,2013,450000
1984,150.0,16.8,2018,2475000
2956,63.0,14.6,2007,100000
1969,190.0,18.0,2019,3800000
2494,157.7,19.16,2016,2000000
1199,88.7,17.5,2017,675000
1086,68.05,19.81,2011,225000
1591,121.3,15.8,2018,1175000
1956,170.0,17.1,2017,1650000
1198,82.0,18.15,2018,650000
1499,110.4,17.01,2016,550000
1248,74.0,23.4,2013,525000
1405,71.0,17.0,2010,170000
2609,116.6,12.7,2007,375000
1248,88.5,24.52,2017,800000
1461,75.0,20.07,2013,300000
1248,74.02,28.4,2017,700000
624,37.48,25.4,2013,80000
1598,103.5,20.5,2011,411000
1248,88.76,21.02,2013,316000
1199,83.81,24.0,2019,520000
1999,177.0,13.6,2017,2625000
1493,70.0,16.5,2017,735000
1197,81.8,20.52,2017,445000
1498,103.6,21.14,2017,750000
1498,98.59,22.77,2015,600000
2499,141.0,13.1,2011,850000
1493,100.0,18.49,2017,725000
1498,98.6,25.8,2017,500000
998,67.04,23.1,2017,483000
1197,81.8,21.21,2019,600000
2489,93.7,14.95,2014,320000
1197,85.8,19.1,2014,400000
1248,74.0,22.9,2014,530000
1497,113.42,17.7,2012,415000
1248,74.0,27.39,2017,800000
2197,138.1,13.7,2013,450000
1199,88.7,18.2,2016,550000
1999,177.0,19.33,2017,3200000
796,47.3,22.05,2020,350000
2498,112.0,14.0,2013,351000
1493,110.0,16.2,2010,250000
796,46.3,19.7,2006,110000
1086,68.05,19.81,2014,300000
2755,171.5,11.36,2016,1516000
2143,204.0,13.0,2016,2900000
2499,80.0,14.8,2011,650000
1086,68.05,19.81,2008,229999
999,72.0,20.0,2019,650000
1248,73.9,19.3,2008,250000
1373,93.7,16.02,2013,450000
1248,92.3124958934112,19.3737698630137,2006,229999
1248,74.0,28.4,2018,755000
1497,117.3,17.8,2017,860000
2498,112.0,14.0,2012,310000
1197,80.0,18.5,2010,300000
1248,74.0,22.1,2013,246000
1248,74.0,26.59,2015,570000
1493,100.0,18.49,2016,770000
999,67.0,23.01,2016,300000
1197,81.8,20.89,2018,535000
2179,140.0,16.0,2015,850000
1197,78.9,20.36,2010,150000
1197,81.83,18.6,2018,730000
1248,88.5,24.3,2017,711000
1496,88.73,16.78,2017,625000
1248,92.3124958934112,19.3737698630137,2002,95000
1086,62.1,17.92,2013,187000
1498,108.6,22.15,2015,651000
1405,68.0,16.8,2008,45000
998,67.05,23.95,2016,330000
2179,120.0,10.5,2005,151000
1248,73.9,19.3,2011,310000
1248,88.5,24.52,2017,800000
1197,81.8,20.4,2017,573000
2523,75.0,15.4,2018,1000000
2494,102.0,12.8,2011,800000
2179,120.0,15.4,2017,891000
1248,73.9,19.3,2010,300000
1197,82.0,16.9,2015,380000
2499,141.0,13.1,2013,700000
1197,81.86,18.9,2017,525000
2143,167.62,14.84,2011,1350000
1197,81.86,18.9,2017,445000
2523,75.0,15.4,2015,680000
1197,82.0,18.9,2014,375000
2523,75.0,15.4,2014,680000
2179,140.0,16.0,2015,975000
1999,177.0,19.33,2017,3200000
1582,126.2,19.67,2016,1140000
1197,80.0,17.0,2010,220000
1248,88.76,20.77,2015,750000
1596,99.6,15.3,2011,229999
1197,81.8,20.4,2018,459999
1497,115.0,20.0,2019,1200000
796,34.2,16.8,2015,180000
1120,70.0,24.0,2015,345000
1248,75.0,18.4,2012,200000
1197,81.8,22.0,2018,695000
1248,74.0,26.8,2017,625000
2523,63.0,18.06,2015,750000
1248,92.3124958934112,19.3737698630137,2004,85000
2499,72.4,13.58,2013,454000
2494,102.0,12.8,2012,750000
1497,116.3,16.8,2012,540000
1061,64.0,17.3,2010,200000
2523,62.1,15.96,2015,459999
799,53.3,25.17,2019,350000
2498,112.0,14.0,2011,270000
1248,75.0,17.8,2008,195000
1422,70.0,19.4,2008,140000
1248,92.3124958934112,19.3737698630137,2004,130000
1498,98.6,25.8,2017,515000
1061,64.0,18.2,2007,70000
1196,73.0,15.37,2020,415000
1794,138.1,14.53,2017,1450000
1193,88.7,17.57,2017,400000
1248,88.5,24.3,2020,925000
1399,68.05,20.0,2015,292000
1199,88.76,19.0,2019,779000
1582,126.32,22.32,2012,450000
1248,74.0,25.2,2015,530000
1582,126.3,22.32,2013,500000
1197,80.0,17.0,2009,210000
1197,78.9,20.36,2009,180000
2596,80.8,17.0,2018,910000
1248,92.3124958934112,19.3737698630137,2008,240000
998,67.0,20.51,2017,350000
1199,84.0,23.84,2017,430000
1248,88.76,20.77,2014,525000
2179,140.0,16.0,2015,1225000
1198,67.04,19.49,2017,370000
2982,171.0,11.5,2010,800000
1248,92.3124958934112,19.3737698630137,2009,198000
1199,84.0,23.84,2018,490000
796,37.0,16.1,2004,70000
1086,68.05,19.81,2010,187000
1498,99.0,25.83,2017,500000
998,67.1,20.92,2011,135000
1248,74.0,26.59,2018,690000
796,47.3,22.74,2014,250000
2494,100.6,12.99,2013,750000
2179,115.0,13.5,2011,400000
2835,116.9,10.5,2011,625000
1197,81.86,18.9,2018,500000
995,62.0,18.0,2010,80000
1498,99.0,25.83,2017,500000
1248,74.0,23.4,2012,370000
2489,93.7,14.95,2014,445000
2498,112.0,14.0,2010,250000
998,67.1,18.9,2005,89000
796,46.3,19.7,2007,150000
2179,138.03,13.93,2012,525000
1498,108.5,21.49,2016,591000
1498,99.0,25.83,2018,650000
1968,141.0,19.3,2019,2600000
998,67.1,23.95,2019,366000
1496,88.73,16.78,2017,625000
2494,100.0,12.99,2012,730000
796,46.3,19.7,2012,185000
998,67.1,18.9,2011,210000
2755,171.5,11.36,2016,1650000
1396,88.73,21.19,2015,500000
1197,81.86,18.6,2019,590000
999,75.0,18.78,2018,678000
1991,150.0,11.8,2010,500000
2179,140.0,16.0,2011,475000
1498,98.6,25.8,2017,550000
796,46.3,19.7,2007,150000
1498,98.63,24.4,2018,675000
1798,138.0,14.53,2010,350000
796,46.3,19.7,2008,100000
1999,177.0,19.33,2017,3200000
1248,75.0,17.8,2010,285000
1582,126.3,22.32,2011,360000
1199,82.4,18.2,2016,550000
1948,90.0,14.0,2010,150000
1248,88.8,21.12,2010,200000
1197,81.8,20.4,2016,470000
1197,81.86,18.9,2018,650000
1495,94.0,13.2,2004,80000
2494,100.6,12.99,2015,1350000
1086,68.05,19.81,2015,360000
2179,147.94,14.1,2015,503000
1197,85.8,18.6,2013,450000
1196,70.0,15.6,2012,300000
2489,95.0,13.0,2009,121000
1197,81.86,17.19,2015,500000
998,67.1,18.9,2006,80000
1396,70.0,23.57,2007,100000
796,47.3,22.74,2016,220000
995,62.0,18.0,2012,130000
1498,98.6,25.1,2015,630000
2179,140.0,16.0,2017,1100000
2494,100.6,12.99,2015,1030000
1493,110.0,16.2,2010,220000
1061,67.0,18.9,2010,170000
2523,63.0,13.6,2011,370000
1298,80.0,14.8,1997,300000
1120,71.01,24.4,2014,420000
1396,90.0,23.0,2011,380000
1373,93.7,16.02,2015,423000
2494,102.0,12.8,2011,750000
1198,108.5,17.0,2018,625000
1586,104.68,15.0,2010,300000
1498,98.96,23.0,2018,850000
1197,81.8,20.89,2020,600000
1405,69.01,19.09,2014,300000
1197,81.83,18.6,2014,500000
1896,66.0,18.7,2003,100000
3198,197.0,10.91,2016,2100000
1598,103.5,14.3,2016,645000
1497,121.36,17.0,2017,570000
1461,83.8,20.45,2013,325000
1956,170.0,17.1,2017,1500000
1197,83.1,21.4,2018,550000
796,34.2,16.8,2017,265000
1196,73.0,15.37,2017,330000
1498,89.84,22.7,2017,850000
1396,69.0,19.09,2010,150000
999,67.0,23.01,2018,500000
1598,103.2,15.41,2019,725000
1396,69.0,19.09,2009,150000
1197,82.0,18.9,2015,465000
1248,74.0,26.59,2016,550000
1388,68.0,16.6,2008,136000
1248,88.8,21.12,2010,210000
1248,88.5,28.09,2018,925000
1197,78.9,20.36,2010,140000
1248,73.94,23.2,2014,425000
2523,62.1,15.96,2016,625000
2523,62.1,15.96,2016,550000
1248,74.0,27.39,2018,740000
1196,86.8,18.16,2019,675000
1396,88.73,21.19,2016,540000
1248,92.3124958934112,19.3737698630137,2000,200000
1186,73.97,25.4,2017,620000
1956,170.0,17.1,2018,1675000
1197,83.1,21.4,2015,650000
1199,76.8,18.6,2016,310000
1186,73.97,24.0,2017,455000
1248,75.0,17.8,2008,235000
1798,138.03,14.28,2018,1400000
1248,73.9,19.3,2011,350000
1197,82.0,19.1,2015,375000
1248,74.0,22.3,2013,190000
1373,93.7,16.02,2018,775000
1248,74.0,23.4,2013,520000
1461,108.45,19.01,2013,360000
1999,177.0,13.6,2017,2625000
1197,81.86,20.14,2019,590000
1248,88.76,21.02,2013,280000
1197,81.86,18.9,2019,550000
1968,188.0,17.01,2018,3975000
1197,85.8,18.6,2014,434999
1197,85.8,19.1,2014,409000
1198,108.5,17.0,2020,919999
1396,90.0,21.9,2011,340000
1248,88.5,28.09,2017,750000
2143,170.0,14.84,2008,515000
999,67.0,22.5,2017,300000
1198,67.0,20.62,2016,385000
1396,90.0,23.0,2012,254999
1248,74.0,26.59,2015,440000
1497,113.42,17.7,2015,540000
1248,92.3124958934112,19.3737698630137,1999,60000
998,67.1,18.9,2011,195000
2494,100.6,12.99,2015,950000
796,46.3,19.7,2003,100000
1248,73.9,19.3,2011,300000
1248,75.0,20.3,2011,300000
1248,88.7,20.65,2018,525000
1599,104.0,17.4,2006,190000
2523,75.0,15.4,2017,850000
1248,92.3124958934112,19.3737698630137,2005,105000
1399,68.0,20.0,2012,300000
1248,88.5,24.52,2016,770000
1248,92.3124958934112,19.3737698630137,2010,135000
1248,88.5,25.1,2018,950000
796,47.3,24.7,2017,295000
2494,102.0,12.8,2012,725000
796,46.3,19.7,2007,95000
1199,88.7,17.5,2019,580000
1086,68.0,20.3,2019,425000
